filename,status,original_width,original_height,processed_width,processed_height,final_width,final_height,scale_x,scale_y,detected_angle,suggested_scale_y,iso_auto_scale_applied,iso_auto_scale_y,iso_pre_right_ratio,iso_pre_left_ratio,iso_pre_avg_ratio,iso_pre_side_diff,iso_align_skipped_reason,iso_right_ratio,iso_left_ratio,iso_avg_ratio,iso_side_diff,iso_right_abs_ratio,iso_left_abs_ratio,iso_measurement_method,iso_right_point,iso_left_point,iso_bottom_point,output_path,error
industrialBuilding2-.png,success,1254,1254,1254,987,800,800,1.0,1.0,26.18,1.0169,True,0.7869,0.6475,0.6234,0.6354,0.0241,,-0.5113,0.4918,0.5015,0.0195,0.5113,0.4918,bottom-scan-10pct+virtual,"(707,625)","(91,634)","(396,784)",output/fixed/industrial/2x2/industrialBuilding2-_fixed.png,
industrialBuilding2-01.png,success,1254,1254,1233,1074,800,800,1.0,1.0,26.78,0.9905,True,0.8651,0.5788,0.5773,0.578,0.0015,,-0.5017,0.5,0.5009,0.0017,0.5017,0.5,bottom-scan-10pct+virtual,"(699,628)","(98,627)","(400,778)",output/fixed/industrial/2x2/industrialBuilding2-01_fixed.png,
industrialBuilding2-02.png,success,1254,1254,1254,1037,800,800,1.0,1.0,25.79,1.0346,True,0.8269,0.6098,0.5996,0.6047,0.0102,,-0.5017,0.4936,0.4977,0.0081,0.5017,0.4936,bottom-scan-10pct+virtual,"(706,638)","(93,633)","(407,788)",output/fixed/industrial/2x2/industrialBuilding2-02_fixed.png,
industrialBuilding2-04.png,success,1254,1254,1254,1067,800,800,1.0,1.0,26.76,0.9914,True,0.8508,0.5875,0.588,0.5877,0.0005,,-0.4984,0.4983,0.4984,0.0001,0.4984,0.4983,bottom-scan-10pct+virtual,"(703,648)","(99,653)","(396,801)",output/fixed/industrial/2x2/industrialBuilding2-04_fixed.png,
industrialBuilding2-05.png,success,1254,1254,1254,1014,800,800,1.0,1.0,26.08,1.0215,True,0.8193,0.608,0.6126,0.6103,0.0046,,-0.4967,0.5,0.4983,0.0033,0.4967,0.5,bottom-scan-10pct+virtual,"(701,640)","(103,644)","(397,791)",output/fixed/industrial/2x2/industrialBuilding2-05_fixed.png,
sciencePark2-01.png,success,1254,1254,1254,926,1024,1024,1.0,1.0,26.05,1.023,True,0.8133,0.6276,0.602,0.6148,0.0256,,-0.509,0.4876,0.4983,0.0214,0.509,0.4876,bottom-scan-10pct+virtual,"(907,801)","(116,803)","(518,999)",output/fixed/industrial/2x2/sciencePark2-01_fixed.png,
sciencePark2-02.png,success,1254,1254,1254,1149,1024,1024,1.0,1.0,26.46,1.0044,True,0.9161,0.5437,0.548,0.5458,0.0043,,-0.4974,0.5,0.4987,0.0026,0.4974,0.5,bottom-scan-10pct+virtual,"(899,747)","(123,750)","(507,942)",output/fixed/industrial/2x2/sciencePark2-02_fixed.png,
sciencePark2-04.PNG,success,591,484,591,417,1024,1024,1.0,1.0,26.46,1.0044,True,0.8619,0.5787,0.5815,0.5801,0.0028,,-0.4936,0.5022,0.4979,0.0086,0.4936,0.5022,bottom-scan-10pct+virtual,"(741,901)","(281,904)","(506,1017)",output/fixed/industrial/2x2/sciencePark2-04_fixed.png,
sicencePark2-03.PNG,success,555,380,555,321,1024,1024,1.0,1.0,26.41,1.0069,True,0.8457,0.5929,0.5894,0.5912,0.0035,,-0.5,0.4976,0.4988,0.0024,0.5,0.4976,bottom-scan-10pct+virtual,"(727,905)","(294,915)","(501,1018)",output/fixed/industrial/2x2/sicencePark2-03_fixed.png,
